id,texto,categoria,
1,te voy a matar si sigues hablando,amenaza,
2,si vuelves a escribir te rompo la cara,amenaza,
3,no sabes con quien te metiste te va a ir mal,amenaza,
4,te vamos a desaparecer por lo que dijiste,amenaza,
5,vas a pagar caro todo esto,amenaza,
6,si te encuentro en la calle te parto,amenaza,
7,te juro que no sales vivo de esto,amenaza,
8,cuida a tu familia porque esto no se queda asi,amenaza,
9,te vamos a buscar donde sea,amenaza,
10,no vuelvas a hablar o atente a las consecuencias,amenaza,
11,te voy a hacer daño por lo que hiciste,amenaza,
12,esto no se queda asi ya veras,amenaza,
13,te tengo ubicado y se donde vives,amenaza,
14,vas a sufrir por esto te lo aseguro,amenaza,
15,si no borras eso te va a ir muy mal,amenaza,
16,te vamos a dar una leccion que no olvidaras,amenaza,
17,te voy a romper todo cuando te vea,amenaza,
18,me las vas a pagar una por una,amenaza,
19,esto te va a costar caro,amenaza,
20,no juegues conmigo o te arrepientes,amenaza,
21,si sigues asi te busco y te mato,amenaza,
22,te vamos a caer arriba,amenaza,
23,te tengo en la mira no te escondas,amenaza,
24,vas a terminar mal por lo que hiciste,amenaza,
25,cuando te vea te voy a golpear,amenaza,
26,esto no termina aqui te lo prometo,amenaza,
27,te voy a hacer la vida imposible,amenaza,
28,no te metas conmigo o veras,amenaza,
29,te voy a hacer pagar cada cosa,amenaza,
30,no sabes lo que te espera,amenaza,
31,vas a ver lo que te pasa por meterte conmigo,amenaza,
32,te voy a buscar aunque te escondas,amenaza,
33,no te vas a escapar de esta,amenaza,
34,esto es una advertencia para que pares,amenaza,
35,te voy a encontrar y no te va a gustar,amenaza,
36,vas a llorar por lo que hiciste,amenaza,
37,te voy a hacer daño si no paras,amenaza,
38,mejor que no te vea porque te va mal,amenaza,
39,esto tiene consecuencias y tu las vas a sufrir,amenaza,
40,te voy a destruir por completo,amenaza,
41,te vamos a hacer algo si sigues,amenaza,
42,te estoy vigilando no te equivoques,amenaza,
43,no sabes con quien te metiste esto es serio,amenaza,
44,te voy a caer arriba cuando menos lo esperes,amenaza,
45,te voy a partir la cara cuando te vea,amenaza,
46,vas a terminar mal sigue asi,amenaza,
47,te voy a hacer pagar todo esto,amenaza,
48,si te cruzo no respondo,amenaza,
49,te voy a romper todo por lo que hiciste,amenaza,
50,vas a ver lo que es bueno,amenaza,
51,te voy a dar una paliza,amenaza,
52,esto no se queda asi te lo advierto,amenaza,
53,te voy a arruinar la vida,amenaza,
54,te tengo ubicado cuidado,amenaza,
55,no sigas o te vas a arrepentir,amenaza,
56,te voy a buscar y te voy a encontrar,amenaza,
57,vas a pagar todo esto caro,amenaza,
58,te voy a hacer algo si no paras,amenaza,
59,te voy a dar donde mas te duele,amenaza,
60,vas a sufrir por lo que hiciste,amenaza,
61,te voy a hacer daño no lo dudes,amenaza,
62,esto no termina aqui te lo aseguro,amenaza,
63,te voy a caer arriba pronto,amenaza,
64,no te metas conmigo te lo advierto,amenaza,
65,te voy a destruir si sigues,amenaza,
66,vas a ver lo que pasa ahora,amenaza,
67,te voy a encontrar donde sea,amenaza,
68,te voy a hacer pagar todo,amenaza,
69,te voy a romper la cara,amenaza,
70,te voy a hacer algo cuando te vea,amenaza,
71,no sabes lo que te viene encima,amenaza,
72,te voy a buscar por todos lados,amenaza,
73,te voy a hacer daño de verdad,amenaza,
74,vas a pagar por todo esto,amenaza,
75,te voy a dar una leccion,amenaza,
76,te voy a caer encima sin avisar,amenaza,
77,te voy a hacer sufrir por esto,amenaza,
78,no te salvas de esta,amenaza,
79,te voy a encontrar no importa donde estes,amenaza,
80,te voy a hacer algo grave,amenaza,
81,vas a ver lo que te pasa por esto,amenaza,
82,te voy a hacer daño si no paras ya,amenaza,
83,te voy a buscar y te voy a encontrar seguro,amenaza,
84,esto no queda asi te lo juro,amenaza,
85,te voy a hacer pagar todo esto pronto,amenaza,
86,vas a terminar muy mal sigue asi,amenaza,
87,te voy a caer arriba y no vas a poder evitarlo,amenaza,
88,te voy a hacer algo muy feo,amenaza,
89,te voy a encontrar y te va a doler,amenaza,
90,no te salvas de lo que viene,amenaza,
91,te voy a hacer pagar caro todo esto,amenaza,
92,te voy a buscar hasta encontrarte,amenaza,
93,te voy a dar donde mas duele,amenaza,
94,vas a sufrir las consecuencias,amenaza,
95,te voy a hacer algo si no dejas eso,amenaza,
96,te voy a romper cuando te vea,amenaza,
97,te voy a hacer pagar por esto te lo juro,amenaza,
98,te voy a encontrar no te escondas,amenaza,
99,te voy a hacer daño aunque no quieras,amenaza,
100,esto no termina aqui te voy a buscar,amenaza,
101,esa gente de tu raza no sirve para nada,discurso_odio,
102,los de tu color son todos unos inútiles,discurso_odio,
103,deberían sacar a todos esos inmigrantes del país,discurso_odio,
104,los homosexuales no deberían existir,discurso_odio,
105,esa religión solo trae problemas a la sociedad,discurso_odio,
106,las mujeres no sirven para ese tipo de trabajo,discurso_odio,
107,todos los de tu país son unos delincuentes,discurso_odio,
108,esa gente es inferior a nosotros,discurso_odio,
109,no confío en nadie de tu religión,discurso_odio,
110,los negros son todos iguales de problemáticos,discurso_odio,
111,los gays son una vergüenza para la sociedad,discurso_odio,
